block_size,insertion,selection
71300,0,5.19313
71400,0.0059051,5.1905
71500,0,5.2085
71600,0,5.21811
71700,0.0156263,5.23146
71800,0.0069592,5.23485
71900,0,5.25784
72000,0.0156262,5.27659
72100,0,5.2965
72200,0.0070017,5.29676
72300,0,5.32594
72400,0,5.34116
72500,0,5.3644
72600,0.007218,5.35637
72700,0.0156272,5.36633
72800,0.0156264,5.40087
72900,0.0085632,5.3948
73000,0.015626,5.42875
73100,0.007686,5.43499
73200,0,5.45907
73300,0.0156257,5.463
73400,0,5.49867
73500,0,5.50728
73600,0.0156218,5.50675
73700,0.0156256,5.53387
73800,0,5.55744
73900,0.0041179,5.57515
74000,0,5.58108
74100,0.014237,5.59216
74200,0,5.60783
74300,0.0156263,5.63152
74400,0.015626,5.63727
74500,0.0145187,5.6543
74600,0.0156262,5.71415
74700,0,5.7327
74800,0.0071528,5.72866
74900,0.0070016,5.74997
75000,0,5.74294
75100,0.0173071,5.74673
75200,0.0069436,5.76603
75300,0,5.79766
75400,0,5.83208
75500,0,5.80756
75600,0.0156258,5.81653
75700,0.0130532,5.83419
75800,0,5.85333
75900,0.0156258,5.86364
76000,0.007723,5.88615
76100,0,5.9016
76200,0.0178984,5.90254
76300,0,5.94407
76400,0,5.95453
76500,0.0083163,5.96968
76600,0.0070005,5.9812
76700,0.0113526,5.99191
76800,0.009002,6.01839
76900,0.0071365,6.0407
77000,0.0145182,6.02944
77100,0.0156259,6.0524
77200,0.0071365,6.0808
77300,0,6.09178
77400,0,6.10449
77500,0,6.1172
77600,0,6.14048
77700,0.007574,6.14024
77800,0,6.16769
77900,0,6.18291
78000,0,6.19857
78100,0,6.23441
78200,0.008002,6.22296
78300,0,6.25138
78400,0.0080196,6.25844
78500,0.0074895,6.27503
78600,0,6.29779
78700,0.0156242,6.29071
78800,0.0156448,6.31266
78900,0.0156259,6.33329
79000,0,6.34697
79100,0,6.39613
79200,0.0073153,6.38004
79300,0.0156263,6.41322
79400,0.004823,6.4275
79500,0,6.44801
79600,0.0156261,6.45578
79700,0,6.46249
79800,0.0156266,6.48005
79900,0,6.49885
80000,0,6.52268
80100,0,6.52451
80200,0.0156258,6.53826
80300,0,6.59814
80400,0,6.59465
80500,0.0081713,6.60641
80600,0.0080228,6.63729
80700,0,6.63879
80800,0.0081349,6.67897
80900,0,6.68651
81000,0.0085678,6.68299
81100,0.0059054,6.69535
81200,0.0080535,6.69814
81300,0.0156262,6.73585
81400,0.0080019,6.7454
81500,0,6.76671
81600,0.0156261,6.77101
81700,0.0156247,6.83753
81800,0,9.84503
81900,0.008002,6.82841
82000,0.0140201,6.83348
82100,0.0156267,6.8543
82200,0,6.88103
